timestamps,h_com_hist,h_clear_hist,angmom_wb_hist,motor_timestamps,motor_current,motor_voltage,motor_power
0.05703854561,0.5208479602,0.002932681185,[0.00835648 0.0417109  0.05720079],0.05668187141,2.780000029,56.44733365,156.9235892
0.05803990364,0.5208316934,0.002914878779,[0.01482558 0.0402768  0.05565036],0.05787396431,2.80000004,56.44099998,158.0348022
0.05903792381,0.5208153531,0.002895724899,[0.01971048 0.02872903 0.05262205],0.05886793137,2.820000021,56.44516754,159.1753736
0.06001853943,0.5207989706,0.002877208452,[0.01939066 0.03731384 0.04986605],0.05980992317,2.819999982,56.44333394,159.1702007
0.06104207039,0.5207825761,0.002858740881,[0.01444663 0.037265   0.04959743],0.06099486351,2.750000013,56.44216601,155.2159573
0.06202125549,0.520766198,0.002840632665,[0.00902262 0.0377667  0.05184614],0.06200003624,2.740000023,56.44816717,154.6679793
0.06301426888,0.520749863,0.002821288194,[0.00673965 0.0330102  0.05716811],0.06293702126,2.760000004,56.4393336,155.7725609
0.06401824951,0.5207335958,0.002802911631,[0.00942297 0.02728156 0.05995597],0.06412005424,2.78999999,56.43766721,157.4610909
0.0650165081,0.5207174187,0.002783775874,[0.01333125 0.0259414  0.0580608 ],0.06512713432,2.819999952,56.41583379,159.0926486
0.06601500511,0.5207013514,0.002763937911,[0.01609917 0.02230505 0.05308555],0.06612586975,2.889999984,56.41650009,163.0436844
0.06701612473,0.5206854115,0.002743489167,[0.01658693 0.0263247  0.05013864],0.06716680527,2.870000003,56.43650055,161.9727567
0.06801962852,0.5206696137,0.002722450192,[0.01333272 0.03287163 0.04994191],0.06824684143,2.849999983,56.43649991,160.8440238
0.06901144981,0.5206539706,0.002714539098,[0.00945229 0.03517356 0.05390696],0.06924986839,2.809999947,56.43933296,158.5945226
0.0700109005,0.5206384923,0.002693974133,[0.00546578 0.03789761 0.05978229],0.07025384903,2.849999933,56.43700027,160.845447
0.0710105896,0.5206231868,0.002674698795,[0.00716612 0.03987123 0.06305494],0.07125496864,2.879999954,56.43549983,162.5342369
0.07201099396,0.5206080599,0.002656354033,[0.0126879  0.04013074 0.05959167],0.07220602036,2.929999996,56.43100039,165.3428309
0.07300972939,0.5205931158,0.002638265889,[0.01551763 0.04178118 0.0519646 ],0.07220602036,2.939999986,56.43033346,165.9051796
0.07401227951,0.5205783574,0.002620017289,[0.01324824 0.04332795 0.04838156],0.07337284088,2.859999944,56.43150012,161.3940871
0.07501292229,0.5205637861,0.002601404505,[0.00928971 0.04301942 0.05047571],0.07437396049,2.840000002,56.43666712,160.2801347
0.07601428032,0.5205494026,0.002582257929,[0.00731531 0.04478671 0.05405787],0.07537198067,2.870000003,56.44149907,161.9871025
0.07701134682,0.5205352069,0.002562932909,[0.00755515 0.04337589 0.05824828],0.07641577721,2.869999994,56.44433339,161.9952365
0.07801055908,0.520521199,0.002544140649,[0.01073692 0.04296035 0.05954446],0.07750701904,2.879999934,56.44266701,162.5548772
0.07901263237,0.5205073785,0.002526082599,[0.01448932 0.04681333 0.05874875],0.07850694656,2.869999973,56.44733302,162.0038442
0.08001184464,0.5204937458,0.002508535446,[0.01690279 0.05518201 0.05353388],0.07951498032,2.879999934,56.44833374,162.5711974
0.08101058006,0.5204803014,0.002491327065,[0.01497928 0.0378572  0.05078921],0.08051586151,2.849999933,56.45283381,160.8905726
0.08201336861,0.5204670469,0.002474552128,[0.01110614 0.03902355 0.05202566],0.08155798912,2.819999997,56.44766617,159.1824184
0.08301138878,0.5204539848,0.002458205852,[0.00696305 0.05005374 0.05608196],0.08262395859,2.800000001,56.44366646,158.0422661
0.08401823044,0.5204411185,0.002442858357,[0.00520171 0.04101003 0.06054434],0.08362317085,2.819999937,56.44699987,159.1805361
0.08501458168,0.5204284527,0.002428544328,[0.00589279 0.04545711 0.06413648],0.08467507362,2.839999933,56.43050067,160.2626181
0.08601140976,0.5204159932,0.002414884806,[0.00954508 0.04773866 0.06078191],0.08574795723,2.879999934,56.43533325,162.533756
0.08701205254,0.5204037472,0.002401753861,[0.01374494 0.04805362 0.05479095],0.0867497921,2.819999952,56.44583384,159.1772487
0.08801031113,0.5203917227,0.002389033705,[0.01449393 0.04913747 0.05128775],0.0877468586,2.839999942,56.4488341,160.3146856
0.08901166916,0.5203799288,0.002376473979,[0.01102795 0.0527489  0.05384105],0.08868503571,2.799999936,56.44616699,158.0492639
0.09001064301,0.5203683756,0.002363901528,[0.00722619 0.04773377 0.05923292],0.08987307549,2.830000002,56.44449933,159.7379332
0.09101104736,0.5203570736,0.002351639085,[0.00729556 0.04455246 0.06506126],0.09087300301,2.849999962,56.43983332,160.8535228
0.09201622009,0.5203460339,0.002339534352,[0.00932346 0.04349048 0.06692188],0.09181404114,2.859999944,56.43916702,161.4160145
0.0930185318,0.5203352674,0.002327046889,[0.01127477 0.04042726 0.06249209],0.0929980278,2.859999944,56.4405009,161.4198294
0.09401154518,0.5203247853,0.002314019753,[0.01296774 0.04088294 0.05609763],0.09399485588,2.799999941,56.44216728,158.0380651
0.09501385689,0.520314598,0.00230063676,[0.01151224 0.04424584 0.05081975],0.09493708611,2.819999946,56.44633293,159.1786558
0.0960111618,0.5203047153,0.002287339252,[0.0080523  0.05056831 0.05329153],0.09594798088,2.859999953,56.4483331,161.44223
0.09701061249,0.5202951461,0.002273726733,[0.0049597  0.05172211 0.05764602],0.09713768959,2.839999972,56.44550006,160.3052186
0.09801030159,0.5202858976,0.002260274361,[0.00448189 0.04971182 0.06203237],0.09812283516,2.869999973,56.43666776,161.973235
0.09901046753,0.5202769759,0.002247438014,[0.00663415 0.03879491 0.06473361],0.09907984734,2.889999954,56.44116592,163.1149669
0.1000130177,0.5202683851,0.002235124998,[0.01021507 0.04574344 0.06423059],0.1000709534,2.859999953,56.43150012,161.3940877
0.1010117531,0.5202601271,0.002223058203,[0.01520429 0.05315461 0.0593058 ],0.1012489796,2.839999933,56.43033282,160.2621414
0.1020104885,0.520252202,0.002210991236,[0.0158885  0.06326566 0.05524076],0.1022489071,2.839999942,56.4350001,160.275397
0.1030097008,0.5202446075,0.002285008676,[0.0124201  0.05923433 0.05608308],0.1032071114,2.819999982,56.44666672,159.1795991
0.1040177345,0.520237339,0.00227317962,[0.00642227 0.05456013 0.05894993],0.1032071114,2.839999972,56.44299952,160.2981171
0.1050126553,0.5202303896,0.00226111546,[0.00392703 0.05459533 0.06142712],0.1043698788,2.829999981,56.43983396,159.7247291
0.1060109138,0.5202237503,0.002249116431,[0.00559707 0.05543814 0.06273684],0.1053769588,2.789999975,56.44266637,157.4750378
0.1070098877,0.52021741,0.002237627449,[0.01121044 0.06563857 0.06047342],0.1063730717,2.720000042,56.45783361,153.5653098
0.108011961,0.5202113554,0.002226953118,[0.01474691 0.05533582 0.05719734],0.1073241234,2.709999992,56.45516713,152.9935025
0.1090147495,0.5202055717,0.002217396429,[0.01699261 0.05179903 0.05587792],0.1085059643,2.750000037,56.45633252,155.2549165
0.1100103855,0.5202000427,0.002209219787,[0.01430665 0.05410438 0.05551488],0.1095118523,2.730000032,56.45366669,154.1185119
0.1110105515,0.5201947509,0.002202152596,[0.0089349  0.0557814  0.05933415],0.1105158329,2.770000009,56.44783274,156.3604972
0.1120140553,0.5201896782,0.002196297973,[0.00621115 0.06453501 0.06133091],0.1115128994,2.750000028,56.4483331,155.2329176
0.1130235195,0.5201848059,0.002191503029,[0.00787453 0.0699745  0.06038127],0.1125209332,2.730000041,56.43866666,154.0775623
0.114027977,0.5201801152,0.002187754972,[0.0116237  0.07038107 0.05868431],0.1136059761,2.750000037,56.43533389,155.1971703
0.1150214672,0.520175588,0.002185142801,[0.01471119 0.0754614  0.05746012],0.1145660877,2.760000018,56.43833288,155.7697998
0.1160166264,0.5201712065,0.002183984701,[0.01737815 0.08347457 0.05495085],0.1156229973,2.740000047,56.44099998,154.6483426
0.1170222759,0.5201669544,0.00218456748,[0.01696287 0.08471737 0.05429588],0.1166250706,2.780000029,56.44666672,156.9217351
0.118019104,0.5201628167,0.002186011647,[0.01223415 0.07744355 0.05740809],0.1176700592,2.760000048,56.45166651,155.8066023
0.1190168858,0.5201587802,0.002187735926,[0.00901711 0.07313278 0.06055973],0.1187489033,2.730000047,56.45099958,154.1112315
0.1200165749,0.5201548339,0.002189331797,[0.00972855 0.07477101 0.06094351],0.1197509766,2.740000037,56.45183372,154.6780265
0.1210169792,0.5201509692,0.002190950883,[0.0142484  0.07505342 0.06084174],0.1207489967,2.720000036,56.45399984,153.5548816
0.1220154762,0.5201471797,0.002192863333,[0.01841353 0.08304463 0.05989652],0.1217467785,2.700000055,56.45049922,152.416351
0.1230266094,0.5201434622,0.002195101208,[0.02048366 0.07379462 0.05667507],0.1226799488,2.790000029,56.45400047,157.506663
0.1240177155,0.5201398157,0.002197384837,[0.01830318 0.07152815 0.05380224],0.1238749027,2.83000005,56.44833374,159.7487873
0.1250083447,0.5201362423,0.002199351092,[0.01302657 0.06861722 0.0545139 ],0.1248729229,2.780000059,56.43600082,156.8920856
0.1260008812,0.5201327467,0.002200271621,[0.00885842 0.06864342 0.05580839],0.1259298325,2.819999967,56.44599978,159.1777175
