timestamps,pos_com_hist,pos_clear_hist,angmom_wb_hist
15.13600302,[-1.78445231 -0.02369367  0.52283481],[-1.79011573 -0.19193661  0.00366019],[0.03469829 0.07511963 0.10136483]
15.22200513,[-1.78096974  0.0721983   0.52197102],[-1.78557261 -0.09645151  0.0034704 ],[0.01528265 0.06813547 0.05479334]
15.30796909,[-1.77791453  0.16924351  0.52203514],[-1.78202612e+00  8.42461029e-04  3.46816392e-03],[0.00665179 0.10170889 0.02117057]
15.39397836,[-1.7751569   0.26666448  0.52129082],[-1.77899445  0.09868747  0.00257346],[0.0126982  0.05225551 0.02303362]
15.4800036,[-1.77255982  0.3649096   0.52074003],[-1.77631078  0.19744188  0.00198894],[0.00786373 0.04687205 0.0232637 ]
15.56596184,[-1.77009398  0.46500674  0.51970086],[-1.77366555e+00  2.98735506e-01  6.06846270e-04],[0.01078148 0.005277   0.01417887]
15.65199709,[-1.7673985   0.56863392  0.51906621],[-1.77140381e+00  4.02330911e-01  2.46126321e-04],[ 0.00302633  0.07629837 -0.02204035]
15.73799396,[-1.7647346   0.676781    0.51864441],[-1.76893463e+00  5.10501875e-01 -1.81082694e-04],[-0.01396421  0.07885097 -0.02018333]
15.82395864,[-1.76181223  0.79046198  0.52280119],[-1.76611721  0.62526638 -0.00321291],[ 0.04370211  0.26593257 -0.03587055]
15.90997076,[-1.75927555  0.922111    0.59197378],[-1.76123111  0.78060211 -0.01043868],[0.11434485 1.2193951  0.07164325]
15.99597454,[-1.75568443  1.10547928  0.76734074],[-1.75708134  0.99272999 -0.00945853],[ 0.09020876  0.96518825 -0.16287533]
16.08197212,[-1.75141929  1.28553774  1.01015608],[-1.75249121  1.37642698  0.08739912],[-0.03313615  2.8044735   0.09675847]
16.16796827,[-1.74879026  1.43843746  1.23098651],[-1.74651775  1.66893367  0.43778334],[ 0.10210448 -3.31305112 -0.16486332]
16.25397491,[-1.74635482  1.62341987  1.38687987],[-1.74561629  1.76784195  0.65189472],[ 0.17776042 -3.02936435 -0.0277239 ]
16.33997273,[-1.74197674  1.82206246  1.48208028],[-1.74616779  1.7743941   0.85583482],[-0.11658873 -0.84066898 -0.1050204 ]
16.42598009,[-1.73448792  2.01253556  1.51650764],[-1.73621315  1.96544866  0.92850528],[-0.29797898  0.5344603  -0.29654516]
16.51198912,[-1.72890959  2.17473494  1.54336292],[-1.73104355  2.06681972  0.98851219],[-0.36317562  2.13645212 -0.28745427]
